NAICS,Description,"2023 Jobs","2022 - 2023 Change","2022 - 2023 % Change","Avg. Earnings Per Job","2022 GRP Earnings"
111000,"Crop Production",50.0565294324,2.69431117589,0.0568873518825,45321.6988171,3547517.05073
112000,"Animal Production",1.16790149586,0.0300404187405,0.0264007789217,29501.0763001,44881.1032981
113110,"Timber Tract Operations",0.0100657337763,-0.00117534636997,-0.10455813451,30986.2334505,688.976268154
113210,"Forest Nurseries and Gathering of Forest Products",0.0206927654047,-3.69763766365E-5,-0.00178373551521,30986.2334505,1491.32503212
113310,Logging,0.774766730777,0.0283887789674,0.0380353933266,69979.3534389,52247.2033006
114111,"Finfish Fishing",0.00145126473032,0.000328999852633,0.293157042667,170115.992047,191.133546791
114112,"Shellfish Fishing",0,0,0,0,0
114119,"Other Marine Fishing",0,0,0,0,0
114210,"Hunting and Trapping",0.622906721318,0.0384454902763,0.0657793677912,56210.5694279,32852.9388872
115111,"Cotton Ginning",0,0,0,0,0
115112,"Soil Preparation, Planting, and Cultivating",11.8872073041,0.197793636139,0.0169207491288,60982.5568801,1109295.72727
115113,"Crop Harvesting, Primarily by Machine",0.0351108568078,0.000377689743383,0.0108740369884,60989.2660144,2940.84551433
115114,"Postharvest Crop Activities (except Cotton Ginning)",0.488285178351,0.0373041649672,0.0827178170701,43023.5159816,21754.2508672
115115,"Farm Labor Contractors and Crew Leaders",0.10363953875,0.0191220158724,0.226249128243,43952.5412175,4706.70393289
115116,"Farm Management Services",0.00283065334956,-5.45768601085E-5,-0.0189159464384,22309.9382848,64.8292204824
115210,"Support Activities for Animal Production",2.25309989253,0.00786331907547,0.00350222295879,46299.8572209,191806.168817
115310,"Support Activities for Forestry",6.5915199458,0.146753284778,0.0227709229049,150241.409844,994413.771782
211120,"Crude Petroleum Extraction",0,0,0,0,365843.317518
211130,"Natural Gas Extraction",0,0,0,0,71003.061259
212114,"Surface Coal Mining",0,0,0,0,0
212115,"Underground Coal Mining",0,0,0,0,0
212210,"Iron Ore Mining",0,0,0,0,0
212220,"Gold Ore and Silver Ore Mining",0.00792054062438,0.00220988919542,0.386976726371,336407.352555,139324.321637
212230,"Copper, Nickel, Lead, and Zinc Mining",0.0342062835995,-0.000238365919063,-0.00692025967443,166951.323937,38406.6058812
212290,"Other Metal Ore Mining",0,0,0,0,0
212311,"Dimension Stone Mining and Quarrying",0,0,0,0,5649.87494736
212312,"Crushed and Broken Limestone Mining and Quarrying",0,0,0,0,231638.778426
212313,"Crushed and Broken Granite Mining and Quarrying",0,0,0,0,21927.26724
212319,"Other Crushed and Broken Stone Mining and Quarrying",0,0,0,0,71277.2468235
212321,"Construction Sand and Gravel Mining",0.194868079985,0.00052049260636,0.00267815316558,147938.956636,525971.703709
212322,"Industrial Sand Mining",0,0,0,0,19910.5866084
212323,"Kaolin, Clay, and Ceramic and Refractory Minerals Mining",0,0,0,0,0
212390,"Other Nonmetallic Mineral Mining and Quarrying",0,0,0,0,18785.4488737
213111,"Drilling Oil and Gas Wells",8.46806686183E-5,5.71616161199E-5,2.0771651249,98494.6790907,2.7104835681
213112,"Support Activities for Oil and Gas Operations",5.66699870919E-5,-6.64982090272E-6,-0.105019599922,88241.2606218,6.19126237275
213113,"Support Activities for Coal Mining",0,0,0,0,0
213114,"Support Activities for Metal Mining",3.23415029954E-5,-1.36617873668E-6,-0.0405301897513,96160.6733583,3.48589500237
213115,"Support Activities for Nonmetallic Minerals (except Fuels) Mining",2.9474982389E-5,9.65130199792E-6,0.48685722366,98171.7239351,1.94612726492
221111,"Hydroelectric Power Generation",0,0,0,0,0
221112,"Fossil Fuel Electric Power Generation",0,0,0,0,0
221113,"Nuclear Electric Power Generation",0,0,0,0,0
221114,"Solar Electric Power Generation",0,0,0,0,0
221115,"Wind Electric Power Generation",0,0,0,0,0
221116,"Geothermal Electric Power Generation",0,0,0,0,0
221117,"Biomass Electric Power Generation",0,0,0,0,0
221118,"Other Electric Power Generation",0,0,0,0,0
221121,"Electric Bulk Power Transmission and Control",0,0,0,0,0
221122,"Electric Power Distribution",12.6205852962,0.282575754971,0.022902864034,162858.074028,2009924.12486
221210,"Natural Gas Distribution",0,0,0,0,0
221310,"Water Supply and Irrigation Systems",0.330411358508,0.0121477399418,0.0381687985469,73073.0323487,32808.0139892
221320,"Sewage Treatment Facilities",0.208116523897,-0.0151371126454,-0.0678023116658,73121.8325996,16324.7350547
221330,"Steam and Air-Conditioning Supply",0,0,0,0,0
236115,"New Single-Family Housing Construction (except For-Sale Builders)",62.5828604382,5.56159233502,0.0975354024915,62631.7888097,3657648.39263
236116,"New Multifamily Housing Construction (except For-Sale Builders)",0.79084523113,0.00848078196201,0.010839937795,52924.3737859,44575.6313615
236117,"New Housing For-Sale Builders",4.31975293856,0.0398771397826,0.00931735911447,50432.4879081,248232.061867
236118,"Residential Remodelers",112.755193884,5.32210450771,0.0495387830567,51755.9358406,5765030.16173
236210,"Industrial Building Construction",35.8849718401,0.810634391478,0.0231118946342,112923.933733,4016455.38296
236220,"Commercial and Institutional Building Construction",107.524107886,-2.97202343742,-0.0268970813895,82923.092792,9231533.52406
237110,"Water and Sewer Line and Related Structures Construction",2.23186604427,-0.00397314978639,-0.00177702841821,76024.9342103,170009.154464
237120,"Oil and Gas Pipeline and Related Structures Construction",1.69297535629,-0.0328032352751,-0.0190077889687,102487.431293,177497.201317
237130,"Power and Communication Line and Related Structures Construction",3.85699122314,-0.108206840814,-0.0272891389204,116770.406448,469063.108796
237210,"Land Subdivision",12.6824406746,0.0278569618625,0.00220133372183,96039.5073072,1419099.29458
237310,"Highway, Street, and Bridge Construction",1.81231322078,0.00233750328671,0.0012914556058,107205.565128,194445.573606
237990,"Other Heavy and Civil Engineering Construction",4.83585404134,-0.0415966683996,-0.0085283626376,113352.61242,584694.947021
238110,"Poured Concrete Foundation and Structure Contractors",63.823306174,2.43319066702,0.0396348931245,58639.9657986,3838883.16147
238120,"Structural Steel and Precast Concrete Contractors",79.1495917913,-2.27039811129,-0.0278850207917,84967.6176717,6946498.71756
238130,"Framing Contractors",30.4161162557,0.776920884099,0.0262126172576,63732.3542006,2088768.29524
238140,"Masonry Contractors",56.415063049,-1.20727579983,-0.020951523731,59857.6755382,3858229.76069
238150,"Glass and Glazing Contractors",1.14208665999,0.0270997054756,0.0243049529556,62112.5798645,69437.4623822
238160,"Roofing Contractors",110.011735273,3.13144777214,0.0292986466014,81150.724302,8867335.50976
238170,"Siding Contractors",35.3197658004,0.036789990247,0.001042712226,56589.6443954,2219544.09469
238190,"Other Foundation, Structure, and Building Exterior Contractors",13.7981590434,1.18044120519,0.0935542560332,59887.8714359,819413.377421
238210,"Electrical Contractors and Other Wiring Installation Contractors",418.93171148,8.44650209689,0.0205768731828,77764.9079295,32858130.8899
238220,"Plumbing, Heating, and Air-Conditioning Contractors",400.898235327,9.51984417731,0.0243238880648,77241.9831587,30786246.6031
238290,"Other Building Equipment Contractors",0.839808513381,0.00762842505865,0.0091667959444,111480.896674,92970.23377
238310,"Drywall and Insulation Contractors",132.966918457,3.01091362404,0.0231687148886,64106.1270567,8903980.25279
238320,"Painting and Wall Covering Contractors",75.4632256782,2.15030878236,0.0293305582892,52289.0419483,4342940.07507
238330,"Flooring Contractors",30.6968214238,0.840419104722,0.0281487064564,53999.8008732,2049696.92101
238340,"Tile and Terrazzo Contractors",0.701672707413,0.00865646538704,0.0124909992899,63460.6228531,44009.2710527
238350,"Finish Carpentry Contractors",36.3818863361,1.2384349544,0.0352394231559,59754.4500549,2438695.14822
238390,"Other Building Finishing Contractors",3.74547324007,-0.396365622446,-0.0956979823705,52400.2502357,274493.204851
238910,"Site Preparation Contractors",127.663659763,4.09451837819,0.0331354441109,68628.6471529,9632657.29856
238990,"All Other Specialty Trade Contractors",57.0015295227,2.12460917846,0.0387158966854,66364.2984719,4168791.88922
311111,"Dog and Cat Food Manufacturing",0.00160600963589,5.87725273617E-6,0.00367297905976,105547.781729,189.807167911
311119,"Other Animal Food Manufacturing",0.00169275600565,-7.29932679978E-6,-0.00429358189729,196280.54075,339.364295424
311211,"Flour Milling",0.00188673523967,-8.39829599523E-6,-0.00443150619057,97578.2341039,248.531111802
311212,"Rice Milling",0,0,0,0,0
311213,"Malt Manufacturing",0,0,0,0,0
311221,"Wet Corn Milling",0,0,0,0,0
311224,"Soybean and Other Oilseed Processing",0,0,0,0,0
311225,"Fats and Oils Refining and Blending",0,0,0,0,0
311230,"Breakfast Cereal Manufacturing",0,0,0,0,0
311313,"Beet Sugar Manufacturing",0,0,0,0,0
311314,"Cane Sugar Manufacturing",0,0,0,0,0
311340,"Nonchocolate Confectionery Manufacturing",0.00208266775221,-3.59673647724E-6,-0.00172400790827,15174.3918776,35.0137922169
311351,"Chocolate and Confectionery Manufacturing from Cacao Beans",0.00223230593395,5.87488473133E-6,0.00263870050384,17521.6870806,39.010875983
311352,"Confectionery Manufacturing from Purchased Chocolate",0.0023143507377,9.22126839999E-6,0.00400032558813,32723.4635025,75.4319125462
311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",0,0,0,0,0
311412,"Frozen Specialty Food Manufacturing",0,0,0,0,0
311421,"Fruit and Vegetable Canning",0.00232234934232,-1.0411320783E-6,-0.000448108955327,66104.5980677,153.586981781
311422,"Specialty Canning",0,0,0,0,0
311423,"Dried and Dehydrated Food Manufacturing",0.00311140660293,6.89186714338E-6,0.00221994988908,62445.3173277,193.862645525
311511,"Fluid Milk Manufacturing",0.00463738680348,0.00010870723172,0.0240041782592,66959.5719261,303.238817324
311512,"Creamery Butter Manufacturing",0,0,0,0,0
311513,"Cheese Manufacturing",0,0,0,0,0
311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing",0,0,0,0,0
311520,"Ice Cream and Frozen Dessert Manufacturing",0,0,0,0,0
311611,"Animal (except Poultry) Slaughtering",2.74444498956,-0.000252643034956,-9.2047674744E-5,67083.8453939,184125.097398
311612,"Meat Processed from Carcasses",0.00540028924561,0.000815245212498,0.177805318032,46738.6486933,214.348294382
311613,"Rendering and Meat Byproduct Processing",0.00506725327691,0.000421994526273,0.090844137846,89534.2039541,415.910054357
311615,"Poultry Processing",0,0,0,0,0
311710,"Seafood Product Preparation and Packaging",0,0,0,0,0
311811,"Retail Bakeries",0.198643901942,-0.203479954729,-0.506013138374,21788.7660922,8806.73195499
311812,"Commercial Bakeries",0.3435757808,-0.086550330271,-0.201220823482,66950.477453,28797.1838102
311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing",0,0,0,0,0
311821,"Cookie and Cracker Manufacturing",0,0,0,0,0
311824,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour",0.674357432488,-0.0196215638125,-0.028274002408,70628.2645245,49014.5922232
311830,"Tortilla Manufacturing",0,0,0,0,0
311911,"Roasted Nuts and Peanut Butter Manufacturing",1.08559425641,0.026196484272,0.0247277131981,40958.2687092,43391.151824
311919,"Other Snack Food Manufacturing",0,0,0,0,0
311920,"Coffee and Tea Manufacturing",1.38739712897,0.0139858253386,0.0101832752517,40138.3160329,55126.4845404
311930,"Flavoring Syrup and Concentrate Manufacturing",0,0,0,0,0
311941,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing",0,0,0,0,0
311942,"Spice and Extract Manufacturing",0,0,0,0,0
